Book,Author,ISBN
Alien Hearts,Guy de Maupassant,978-1590172605
Like Death,Guy de Maupassant,978-1681370323
Dance to the Piper,Agnes De Mille,978-1590179086
Chaos and Night,Henry de Montherlant,978-1590173046
Defeat,Philippe-Paul de Segure,978-1590172827
What Am I Doing Here?,Abner Dean,978-1681370491
Tyrant Banderas,Ramon del Valle-Inclan,978-1590174982
No Tomorrow,Vivant Denon,978-1590173268
The Family Mashber,Der Nister,978-1590172797
The Ten Thousand Things,Maria; Koning Hans Dermoût,978-1590170137
Niki,Tibor Dery,978-1590173183
The Village by the Sea,Anita Desai,978-1681373515
All About H. Hatterr,G.V. Desani,978-1590172421
In Tearing Haste,Deborah Vivien Freeman-Mitford Cavendish; Fermor Patrick Leigh; Mosley Charlotte Devonshire,978-1681371863
Skylark,Dezso Kosztolanyi,978-1590173398
Zama,Antonio di Benedetto,978-1590177174
The Silentiary,Antonio; Allen Esther; Saer Juan José Di Benedetto,978-1681375625
The Professor and the Siren,Giuseppe Tomasi di Lampedusa,978-1590177198
Affinities,Brian Dillon,978-1681377261
Essayism,Brian Dillon,978-1681372822
Suppose a Sentence,Brian Dillon,978-1681375243
The Island of Horses,Eilis Dillon,978-1681373065
The Lost Island,Eilís; Kennedy Richard Dillon,978-1681373553
Berlin Alexanderplatz,Alfred Doblin,978-1681371993
Bright Magic,Alfred Doblin,978-1590179734
The Strudlhof Steps,Heimito von; Kling Vincent; Kehlmann Daniel Doderer,978-1681375274
Our Fort,Marie; Waters Alyson Dorléans,978-1681376585
The Fire Within,Pierre; Howard Richard Drieu La Rochelle,978-1681376219
Don't Look Now,Daphne du Maurier,978-1590172889
A Handbook on Hanging,Charles Duff,978-0940322677
The World As I Found It,Bruce Duffy,978-1590173602
The Dud Avocado,Elaine Dundy,978-1590172322
The Old Man and Me,Elaine Dundy,978-1590173176
Day and Night,Roger Duvoisin,978-1681377940
Donkey-Donkey,Roger Duvoisin,978-1590179642
The House of Four Seasons,Roger Duvoisin,978-1681370989
Dreams of Earth and Sky,Freeman J. Dyson,978-1590178546
The Scientist as Rebel,Freeman J. Dyson,978-1590172940
Proensa,George Economou,978-1681370309
The Wounded Age and Eastern Tales,Ferit; Aji Aron; Edgü Ferit; Edgü Ferit Edgü,978-1681376769
The Book of Ebenezer Le Page,G.B. Edwards,978-1590172339
The Bible and Poetry,Michael; Lewis Stephen E. Edwards,978-1681376370
The Land Breakers,John Ehle,978-1590177631
Gallery of Clouds,Rachel Eisendrath,978-1681375434
People of the City,Cyprian Ekwensi,978-1681374291
A Posthumous Confession,Marcellus Emants,978-1590173473
The Night of Wishes,Michael; Kehn Regina Ende,978-1681371887
Grief Lessons,Euripides,978-1590171806
Jim at the Corner,Eleanor; Ardizzone Edward Farjeon,978-1681371641
The Little Bookroom,Eleanor; Ardizzone Edward Farjeon,978-1590170489
The Siege of Krishnapur,J.G. Farrell,978-1590170922
The Singapore Grip,J.G. Farrell,978-1590171363
Troubles,J.G. Farrell,978-1590170182
Granny Cloud,Farnoosh Fathi,978-1681378596
Original Letters from India,Eliza Fay,978-1590173367
Clark Gifford's Body,Kenneth Fearing,978-1590171820
The Big Clock,Kenneth Fearing,978-1590171813
The Invisibility Cloak,Ge Fei,978-1681370200
Guston in Time,Ross Feld,978-1681376615
Novels in Three Lines,Felix Feneon,978-1590172308
A Private Affair,Beppe; Curtis Howard Fenoglio,978-1681376745
Patrick Leigh Fermor,Patrick Leigh; Sisman Adam Fermor,978-1590177808
Patrick Leigh Fermor: A Life in Letters,Patrick Leigh; Sisman Adam Fermor,978-1681371566
"Makers of Modern Architecture, Volume 1",Martin Filler,978-1590172278
"Makers of Modern Architecture, Volume II",Martin Filler,978-1590176887
The World of Odysseus,M.I. Finley,978-1590170175
The Year of the French,Thomas Flanagan,978-1590171080
The Letters of Gustave Flaubert,Gustave; Steegmuller Francis Flaubert,978-1681377162
Trots and Bonnie,Shary; Flake Emily; Hathaway Norman Flenniken,978-1681374857
Existential Monday,Benjamin Fondane,978-1590178980
Cinepoems and Others,Benjamin; Schwartz Leonard; Abidor Mitchell; Bailey Marianne; Cioran E. M.; Hacker Marilyn; King Henry; Rubens Andrew; Rudavsky-Brody Nathaniel Fondane,978-1590179000
Irretrievable,Theodor Fontane,978-1590173749
Hadrian the Seventh,Fr. Rolf (Baron Corvo),978-0940322622
Conversations with Beethoven,Sandford Friedman,978-1590177624
Totempole,Sandford Friedman,978-1590177617
Secret of the Ron Mor Skerry,Rosalie K. Fry,978-1681371665
The One-Straw Revolution,Masanobu Fukuoka,978-1590173138
When The World Spoke French,Marc Fumaroli,978-1590173756
That Awful Mess on the Via Merulana,Carlo Emilio Gadda,978-1590172223
The Recognitions,William; Gass William H. Gaddis,978-1681374666
The Letters of William Gaddis,William; Moore Steven Gaddis,978-1681375830
J R,William; Williams Joy Gaddis,978-1681374680
Stories I Forgot to Tell You,Dorothy Gallagher,978-1681374802
A Fairly Good Time,Mavis Gallant,978-1590179871
Paris Stories,Mavis Gallant,978-1590170229
The Cost of Living,Mavis Gallant,978-1590173275
Varieties of Exile,Mavis Gallant,978-1590170601
The Abandoned,Paul Gallico,978-1681376677
Thomasina,Paul Gallico,978-1681372327
Clandestine in Chile,Gabriel Garcia Marquez,978-1590173404
Fat City,Leonard Gardner,978-1590178928
The Complete Bostock and Harris,Leon; Garfield Leon; Garfield Leon Garfield,978-1590177839
Leon Garfield's Shakespeare Stories,Leon; Shakespeare William; Foreman Michael Garfield,978-1590179314
Red Shift,Alan Garner,978-1590174432
In the Heart of the Heart of the Country,William H. Gass,978-1590177648
On Being Blue,William H. Gass,978-1590177181
My Fantoms,Theophile Gautier,978-1590172711
Peach Blossom Paradise,Fei; Morse Canaan Ge,978-1681374703
Letter to Survivors,Edward Gébé; Gauvin,978-1681372402
Prisoner of Love,Jean Genet,978-1590170281
The Criminal Child,Jean Genet,978-1681373614
Migrations,Gloria; Schafer Mark Gervitz,978-1681375700
Marshlands,André; Searls Damion; Ugrešić Dubravka Gide,978-1681374727
The Mirador,Elisabeth Gille,978-1590174449
Life with Picasso,Françoise; Lake Carlton Gilot,978-1681373195
Pere Gimferrer,Pere; West Adrian Nathan Gimferrer,978-1681374987
Firebird,Zuzanna; Valles Alissa Ginczanka,978-1681377308
Family Lexicon,Natalia Ginzburg,978-1590178386
Family and Borghesia,Natalia; Stockman Beryl; Ginzburg Natalia; Ginzburg Natalia Ginzburg,978-1681375083
Valentino and Sagittarius,Natalia; Zarin Cynthia; Bardoni Avril; Ginzburg Natalia; Ginzburg Natalia Ginzburg,978-1681374741
Hill,Jean Giono,978-1590179185
Melville,Jean Giono,978-1681371375
The Open Road,Jean; Eprile Paul; Le Gall Jacques Giono,978-1681375106
A King Alone,Jean; Waters Alyson Giono,978-1681373096
Memoirs of Montparnasse,John Glassco,978-1590171844
The Bog People,P.V. Glob,978-1590170908
About Ed,Robert Glück,978-1681377766
Margery Kempe,Robert; Tóibín Colm Glück,978-1681374314
Pretending Is Lying,Dominique; Yanow Sophie Goblet,978-1681370477
An Episode Of Sparrows,Rumer Godden,978-1590179932
Mouse House,Rumer; Adams Adrienne Godden,978-1590179987
Brookie and Her Lamb,M. B. Goffstein,978-1681375458
Fish for Supper,M. B. Goffstein,978-1681375465
Dead Souls,Nikolai Gogol,978-1590173763
History is Our Mother: Three Libretti,Alice Goodman,978-1681370644
Growing Up Absurd,Paul Goodman,978-1590175811
The Black Spider,Jeremias Gotthelf,978-1590176689
Balcony in the Forest,Julien Gracq,978-1681371399
W.S. Graham,W. S.; Hofmann Michael Graham,978-1681372761
Back,Henry Green,978-1681370101
Blindness,Henry Green,978-1681370668
Caught,Henry Green,978-1681370125
Doting,Henry Green,978-1681371412
Living,Henry Green,978-1681370682
Loving,Henry Green,978-1681370149
Nothing,Henry Green,978-1681371436
Party Going,Henry Green,978-1681370705
Surviving,Henry; Updike John; Yorke Sebastian Green,978-1681374123
Nightmare Alley,William Lindsay Gresham,978-1590173480
Mr. Beethoven,Paul Griffiths,978-1681375809
Schlump,Hans Herbert Grimm,978-1681370262
The Glassblower's Children,Maria Gripe,978-1681373782
Ringolevio,Emmett Grogan,978-1590172865
Alay-Oop,William; Sturm James Gropper,978-1681373003
The People Immortal,Vasiliĭ; Chandler Robert; Chandler Elizabeth; Volohova Julia Grossman,978-1681376783
Stalingrad,Vasilij; Chandler Robert Grossman,978-1681373270
An Armenian Sketchbook,Vasily Grossman,978-1590176184
Everything Flows,Vasily Grossman,978-1590173282
Life and Fate,Vasily Grossman,978-1590172018
The Road,Vasily Grossman,978-1590173619
Blood Dark,Louis Guilloux,978-1681371450
The War of the Worlds,H.G. Wells,978-1590171585
Cat Town,Sakutarō; Sato Hiroaki Hagiwara,978-1590177754
The Lady from Philadelphia,Lucretia P. Hale,978-1681373775
Warlock,Oakley Hall,978-1590171615
The Slaves of Solitude,Patrick Hamilton,978-1590172209
Twenty Thousand Streets Under the Sky,Patrick Hamilton,978-1590172568
"Short Letter, Long Farewell",Peter Handke,978-1590173060
Slow Homecoming,Peter Handke,978-1590173077
The Sorrow Beyond Dreams,Peter Handke,978-1590170199
The Liar,Martin Alfred; Larkin Paul; Jensen Morten Høi Hansen,978-1681377186
Arabia Felix,Thorkild Hansen,978-1681370729
Seduction and Betrayal,Elizabeth Hardwick,978-0940322783
Sleepless Nights,Elizabeth Hardwick,978-0940322721
The Collected Essays of Elizabeth Hardwick,Elizabeth Hardwick,978-1681371542
